date,dailycase,acccase,dailyvaccine,accvaccine,Mnuminter,Cnuminter,Mnumvac,Cnumvac,MscoreIntervention,CscoreIntervention,MscoreVaccine,CscoreVaccine
2021-01-01,7522.0,590917.0,0.0,46180.0,23.0,27.0,15.0,4.0,79.56697499671066,61.11986282726724,97.13137906214916,22.68086519138434
2021-01-02,6882.0,597799.0,36350.0,82530.0,23.0,22.0,10.0,2.0,79.61161920562202,60.88600195320647,97.92039493646276,22.76637998961172
2021-01-03,7605.0,605404.0,0.0,82530.0,27.0,22.0,10.0,1.0,79.64899780834932,60.65230763543759,98.68537667185988,22.848951263785093
2021-01-04,7304.0,612708.0,0.0,82530.0,30.0,18.0,32.0,7.0,79.67905915301681,60.41876623998844,99.4262376467281,22.928712838634237
2021-01-05,7864.0,620572.0,0.0,82530.0,40.0,19.0,62.0,10.0,79.70184002846206,60.18539969297576,100.143304606145,23.00591912410229
2021-01-06,8463.0,629035.0,0.0,82530.0,34.0,30.0,30.0,11.0,79.7173896693357,59.95231021935152,100.8368956321778,23.08084380120269
2021-01-07,9083.0,638118.0,0.0,82530.0,28.0,21.0,28.0,8.0,79.72565113728888,59.71964708027551,101.50695655254108,23.15371590933645
2021-01-08,8710.0,646828.0,0.0,82530.0,31.0,24.0,36.0,8.0,79.72649764648509,59.48750238814258,102.1533793774691,23.22472724109188
2021-01-09,7802.0,654630.0,134863.0,217393.0,15.0,12.0,16.0,2.0,79.71981519621464,59.25596557207235,102.77613901455472,23.294056602548245
2021-01-10,6319.0,660949.0,0.0,217393.0,38.0,17.0,26.0,4.0,79.70553098019762,59.02514415699088,103.37529220706692,23.361893161271297
2021-01-11,7042.0,667991.0,0.0,217393.0,22.0,15.0,30.0,12.0,79.68372859971952,58.795268420447705,103.95120589429304,23.428507431180368
2021-01-12,6752.0,674743.0,0.0,217393.0,31.0,35.0,29.0,8.0,79.65451462642346,58.56668293456472,104.50448000946272,23.49423756691347
2021-01-13,7412.0,682155.0,0.0,217393.0,32.0,33.0,36.0,8.0,79.6180951109886,58.33979061053855,105.03589879990392,23.559392148616404
2021-01-14,6920.0,689075.0,0.0,217393.0,29.0,20.0,46.0,8.0,79.57473219471812,58.11484639274043,105.5463900027196,23.62426885636871
2021-01-15,7052.0,696127.0,0.0,217393.0,29.0,13.0,42.0,22.0,79.52471572573064,57.89194359761826,106.0369219670085,23.689169262945185
2021-01-16,6414.0,702541.0,347583.0,564976.0,51.0,21.0,25.0,1.0,79.46836283771378,57.67117668067276,106.50840179904526,23.75434231485592
2021-01-17,5157.0,707698.0,0.0,564976.0,24.0,22.0,15.0,5.0,79.40595244594377,57.45271652626564,106.96174232697705,23.81986425879483
2021-01-18,5056.0,712754.0,0.0,564976.0,26.0,27.0,22.0,6.0,79.33756695450789,57.23674747966072,107.3980984388656,23.885834805302668
2021-01-19,5434.0,718188.0,0.0,564976.0,25.0,26.0,59.0,7.0,79.26329838632411,57.02342993123194,107.81904542890598,23.95239472349841
2021-01-20,5987.0,724175.0,0.0,564976.0,20.0,11.0,28.0,12.0,79.18329646796762,56.81283127437268,108.22644935005393,24.019695325182187
2021-01-21,5599.0,729774.0,0.0,564976.0,22.0,20.0,24.0,6.0,79.09781090191113,56.60493833220475,108.62212461381898,24.08786933875234
2021-01-22,5720.0,735494.0,0.0,564976.0,27.0,25.0,25.0,9.0,79.00723894337122,56.39979557960269,109.0081167634906,24.156988141765268
2021-01-23,4877.0,740371.0,210570.0,775546.0,35.0,20.0,20.0,3.0,78.91213311177007,56.19745835009204,109.38687705670073,24.227103233958456
2021-01-24,4414.0,744785.0,0.0,775546.0,28.0,23.0,39.0,6.0,78.81312899082269,55.99791757690506,109.76136791596706,24.29823273552493
2021-01-25,3866.0,748651.0,0.0,775546.0,22.0,10.0,43.0,7.0,78.71081261674024,55.80111815685876,110.13518668002476,24.370429861961675
2021-01-26,4385.0,753036.0,0.0,775546.0,24.0,30.0,117.0,20.0,78.60582450491317,55.60697014979006,110.51245360846325,24.443773682067995
2021-01-27,4546.0,757582.0,0.0,775546.0,71.0,22.0,82.0,14.0,78.49899244218813,55.41542696169403,110.89750985724996,24.51829654205102
2021-01-28,4678.0,762260.0,0.0,775546.0,32.0,18.0,67.0,9.0,78.39120703289231,55.2263077913302,111.29388434847046,24.593787724751287
2021-01-29,4514.0,766774.0,0.0,775546.0,23.0,17.0,50.0,12.0,78.28277435642387,55.0392983478872,111.70430274907096,24.66976918400982
2021-01-30,4322.0,771096.0,83751.0,859297.0,31.0,15.0,30.0,1.0,78.17366180488254,54.85397672485751,112.1308201155594,24.745474082348142
2021-01-31,3687.0,774783.0,0.0,859297.0,29.0,23.0,42.0,8.0,78.06363911367946,54.66979883247086,112.57472745878404,24.81974171762504
2021-02-01,3099.0,777882.0,0.0,859297.0,24.0,16.0,33.0,6.0,77.9519829741917,54.48609320340438,113.03622453773148,24.891004117382504
2021-02-02,3544.0,781426.0,0.0,859297.0,16.0,21.0,128.0,11.0,77.83707843501381,54.301937026827176,113.51308620867388,24.95697164814257
2021-02-03,3872.0,785298.0,0.0,859297.0,33.0,29.0,58.0,5.0,77.71585167025535,54.116147486381806,113.99805679617796,25.014309840137315
2021-02-04,3722.0,789020.0,0.0,859297.0,35.0,19.0,17.0,8.0,77.58277628566442,53.927109734557696,114.47344322576996,25.05828899579149
2021-02-05,3688.0,792708.0,0.0,859297.0,37.0,12.0,54.0,12.0,77.4283870451871,53.73261736448448,114.90866406724746,25.08309858291448
2021-02-06,3680.0,796388.0,42188.0,901485.0,15.0,19.0,24.0,4.0,77.23970816859651,53.53002951096974,115.2637872035109,25.083591506645803
2021-02-07,3078.0,799466.0,0.0,901485.0,25.0,11.0,22.0,3.0,76.8281220426623,53.407468677820674,115.47917754735296,25.1170587109204
2021-02-08,2633.0,802099.0,0.0,901485.0,19.0,19.0,29.0,6.0,76.38254067795317,53.27971355532653,115.69439994772668,25.155650269982974
2021-02-09,2889.0,804988.0,0.0,901485.0,56.0,19.0,23.0,6.0,75.903721639451,53.14556511813923,115.91093655275812,25.20246954352292
2021-02-10,3334.0,808322.0,0.0,901485.0,30.0,24.0,19.0,8.0,75.39237739391153,53.00438779790942,116.12682333122964,25.259619384186056
2021-02-11,3434.0,811756.0,0.0,901485.0,17.0,17.0,30.0,7.0,74.84936378429703,52.85564211732304,116.33683304616912,25.328789536149745
2021-02-12,3235.0,814991.0,0.0,901485.0,17.0,19.0,26.0,4.0,74.275778049096,52.6982327630116,116.53627211503648,25.410941322730917
2021-02-13,3158.0,818149.0,71626.0,973111.0,31.0,15.0,18.0,3.0,73.67614460869054,52.53168301760035,116.72216615009916,25.505807413762184
2021-02-14,2610.0,820759.0,0.0,973111.0,25.0,13.0,16.0,4.0,73.05777890095183,52.358542342526405,116.89044655582684,25.61277953590228
2021-02-15,2397.0,823156.0,0.0,973111.0,20.0,22.0,9.0,2.0,72.42821281667058,52.18259547972208,117.0399969720719,25.73288423688269
2021-02-16,2615.0,825771.0,0.0,973111.0,34.0,23.0,28.0,10.0,71.79529160784669,52.00758391572165,117.17232246657576,25.86869712620939
2021-02-17,3202.0,828973.0,0.0,973111.0,21.0,22.0,40.0,13.0,71.16621547724993,51.83565512352345,117.28855647427902,26.02179950016161
2021-02-18,3178.0,832151.0,0.0,973111.0,10.0,16.0,55.0,7.0,70.54993754181639,51.66817067545541,117.3894374871127,26.192589032969693
2021-02-19,3301.0,835452.0,0.0,973111.0,16.0,13.0,43.0,11.0,69.95329493536019,51.50603608342193,117.47717819409549,26.381472368322235
2021-02-20,3059.0,838511.0,113522.0,1086633.0,29.0,19.0,16.0,5.0,69.38191436812549,51.35228453542408,117.55276742107418,26.58783625463675
2021-02-21,2731.0,841242.0,0.0,1086633.0,40.0,26.0,11.0,2.0,68.84083640227729,51.21225273452198,117.62058515299827,26.80959110260977
2021-02-22,2782.0,844024.0,0.0,1086633.0,21.0,15.0,21.0,10.0,68.3333102993493,51.091019005557385,117.69448412824164,27.044579509054834
2021-02-23,2894.0,846918.0,0.0,1086633.0,20.0,10.0,35.0,11.0,67.86203793984517,50.99192538830835,117.79488029920827,27.2931756825098
2021-02-24,3014.0,849932.0,0.0,1086633.0,23.0,17.0,38.0,19.0,67.43200495272774,50.91685151407929,117.94648078975044,27.55644514722113
2021-02-25,3334.0,853266.0,0.0,1086633.0,27.0,24.0,57.0,6.0,67.04766244745105,50.86729298635998,118.1708396095914,27.83532952326711
2021-02-26,3053.0,856319.0,0.0,1086633.0,21.0,22.0,40.0,13.0,66.71324509458512,50.84417926234137,118.48429662505852,28.129745759934277
2021-02-27,3044.0,859363.0,294954.0,1381587.0,22.0,17.0,33.0,6.0,66.43366780943873,50.84873129373163,118.90191990043974,28.440210253194323
2021-02-28,2613.0,861976.0,0.0,1381587.0,20.0,21.0,24.0,3.0,66.21273717622236,50.88098486542352,119.4355772914264,28.767639146055032
2021-03-01,2406.0,864382.0,0.0,1381587.0,25.0,20.0,52.0,11.0,66.05159624415784,50.93988162240623,120.09622269138472,29.113377893378637
2021-03-02,2805.0,867187.0,0.0,1381587.0,24.0,25.0,48.0,12.0,65.94971057019374,51.02647099661039,120.89064605974784,29.47809314053544
2021-03-03,3032.0,870219.0,0.0,1381587.0,22.0,19.0,50.0,4.0,65.90775382606434,51.14279796905021,121.82137291410318,29.860581402432054
2021-03-04,3240.0,873459.0,0.0,1381587.0,32.0,25.0,35.0,8.0,65.92497008736142,51.29041385712075,122.88691380303108,30.25915558629624
2021-03-05,3278.0,876737.0,0.0,1381587.0,30.0,14.0,46.0,7.0,65.9966177365924,51.46953430205175,124.0817520244028,30.67312430446414
2021-03-06,3120.0,879857.0,473399.0,1854986.0,17.0,22.0,33.0,7.0,66.11694729109855,51.68045060855206,125.40169830738036,31.101840747592934
2021-03-07,2777.0,882634.0,0.0,1854986.0,21.0,22.0,16.0,5.0,66.28526865826315,51.92278156311086,126.84142728239765,31.54480506076748
2021-03-08,2680.0,885314.0,0.0,1854986.0,22.0,12.0,41.0,13.0,66.50298529005937,52.19536142310277,128.39428088730955,32.001552976915086
2021-03-09,2927.0,888241.0,0.0,1854986.0,16.0,16.0,36.0,9.0,66.77073504489185,52.49606387887118,130.05035118561398,32.471713140186445
2021-03-10,3266.0,891507.0,0.0,1854986.0,11.0,21.0,69.0,16.0,67.08910961873497,52.821473680170776,131.79397888912106,32.95417787552536
2021-03-11,3542.0,895049.0,0.0,1854986.0,13.0,18.0,64.0,10.0,67.45949592091549,53.16890162816878,133.60314735915233,33.44711994361728
2021-03-12,3778.0,898827.0,0.0,1854986.0,24.0,9.0,52.0,12.0,67.8837756795433,53.53649677701293,135.45302506330052,33.94813130661926
2021-03-13,3361.0,902188.0,645242.0,2500228.0,23.0,15.0,39.0,7.0,68.36254488094286,53.92353288186328,137.3252812919117,34.45360945969205
2021-03-14,2864.0,905052.0,0.0,2500228.0,13.0,16.0,42.0,8.0,68.8968787927868,54.33013313369096,139.20323463501,34.95836057514023
2021-03-15,2774.0,907826.0,0.0,2500228.0,21.0,13.0,58.0,22.0,69.48585002413111,54.75566386666748,141.07025223128932,35.4583377713453
2021-03-16,3508.0,911334.0,0.0,2500228.0,18.0,19.0,55.0,6.0,70.12681216880704,55.19827951901742,142.9126207115272,35.95096254870399
2021-03-17,4070.0,915404.0,0.0,2500228.0,18.0,12.0,49.0,10.0,70.81338132712726,55.65638174487091,144.71806727103427,36.43499359924718
2021-03-18,4285.0,919689.0,0.0,2500228.0,31.0,14.0,60.0,18.0,71.53618413444609,56.12744709507959,146.47696386390015,36.90995461424637
2021-03-19,4023.0,923712.0,0.0,2500228.0,20.0,14.0,59.0,13.0,72.28359113567018,56.60972214529966,148.18646409429874,37.37480152360992
2021-03-20,3991.0,927703.0,902744.0,3402972.0,33.0,16.0,39.0,4.0,73.04814298478684,57.10181172525705,149.8430681463143,37.82803215990145
2021-03-21,3583.0,931286.0,0.0,3402972.0,31.0,27.0,21.0,5.0,73.82603408647715,57.60187342960392,151.44055000670426,38.2685156166164
2021-03-22,3595.0,934881.0,0.0,3402972.0,25.0,21.0,55.0,16.0,74.61272689266082,58.10823640974771,152.97730861650754,38.69705801543255
2021-03-23,4565.0,939446.0,0.0,3402972.0,27.0,15.0,39.0,20.0,75.40164746579921,58.62069929060258,154.45973479513634,39.11491682334221
2021-03-24,4998.0,944444.0,0.0,3402972.0,27.0,15.0,42.0,9.0,76.18769383224921,59.1389409496428,155.89431332742924,39.523165984268594
2021-03-25,5300.0,949744.0,0.0,3402972.0,42.0,25.0,33.0,12.0,76.96704037151093,59.66147299279281,157.2847139949311,39.922093207678685
2021-03-26,5266.0,955010.0,0.0,3402972.0,21.0,25.0,51.0,16.0,77.73621790647266,60.18679384896333,158.63035706840088,40.31098648334108
2021-03-27,4873.0,959883.0,1130277.0,4533249.0,26.0,24.0,28.0,8.0,78.49386241175598,60.71468049067735,159.9271742117468,40.68820754821298
2021-03-28,4839.0,964722.0,0.0,4533249.0,31.0,23.0,42.0,7.0,79.24043910095563,61.24648841231993,161.17459756313065,41.05179518249524
2021-03-29,4749.0,969471.0,0.0,4533249.0,27.0,23.0,73.0,10.0,79.97354818632579,61.7818873395395,162.38071367774643,41.40009078363264
2021-03-30,5651.0,975122.0,0.0,4533249.0,28.0,27.0,46.0,10.0,80.6868112840165,62.319172583520434,163.5573620263425,41.73274171980445
2021-03-31,6167.0,981289.0,0.0,4533249.0,30.0,22.0,70.0,15.0,81.37247022839753,62.85643275219178,164.71347832128058,42.05051702878463
2021-04-01,6553.0,987842.0,0.0,4533249.0,23.0,25.0,51.0,17.0,82.02455554544757,63.39244612762931,165.85333887489185,42.35306846511491
2021-04-02,6931.0,994773.0,0.0,4533249.0,27.0,15.0,38.0,10.0,82.63727897652313,63.9252813009234,166.97757905022195,42.63908459349197
2021-04-03,6705.0,1001478.0,1255385.0,5788634.0,46.0,24.0,36.0,20.0,83.20563053859618,64.44987616205667,168.0851975216946,42.90709761978917
2021-04-04,6243.0,1007721.0,0.0,5788634.0,36.0,29.0,34.0,14.0,83.72667384921084,64.95988668818542,169.17408416350986,43.15668799934594
2021-04-05,6187.0,1013908.0,0.0,5788634.0,35.0,18.0,70.0,22.0,84.1983188804252,65.4507079380367,170.2445267007223,43.38774462051525
2021-04-06,7311.0,1021219.0,0.0,5788634.0,29.0,38.0,53.0,11.0,84.61835423716165,65.91748390864939,171.30116278374425,43.60117028117381
2021-04-07,8762.0,1029981.0,0.0,5788634.0,40.0,34.0,90.0,10.0,84.98361682552533,66.35416667742454,172.3499034708101,43.797865809996885
2021-04-08,8601.0,1038582.0,0.0,5788634.0,37.0,27.0,95.0,20.0,85.29028759555402,66.75456161968091,173.393399194948,43.978263661547885
2021-04-09,9352.0,1047934.0,0.0,5788634.0,26.0,29.0,94.0,30.0,85.53531838030905,67.11318161807543,174.43127790070733,44.14482203652327
2021-04-10,9237.0,1057171.0,1551186.0,7339820.0,43.0,34.0,60.0,11.0,85.71921126528824,67.42621858013699,175.45886625055135,44.30113438816012
2021-04-11,8226.0,1065397.0,0.0,7339820.0,41.0,26.0,49.0,16.0,85.84472208595918,67.69014356770592,176.46978795570905,44.449526554249815
2021-04-12,7875.0,1073272.0,0.0,7339820.0,38.0,27.0,69.0,15.0,85.91617918039913,67.90291038196611,177.45886008806298,44.59160197468529
2021-04-13,8533.0,1081805.0,0.0,7339820.0,34.0,28.0,58.0,14.0,85.93867230548734,68.06326572936679,178.4248744946284,44.72725141636523
2021-04-14,9778.0,1091583.0,0.0,7339820.0,33.0,23.0,75.0,20.0,85.91638984837215,68.17131149380917,179.36384779743895,44.85498352834212
2021-04-15,9379.0,1100962.0,0.0,7339820.0,40.0,30.0,63.0,14.0,85.8527719220761,68.22742442223908,180.2636725945605,44.97208731261976
2021-04-16,8530.0,1109492.0,0.0,7339820.0,50.0,37.0,84.0,17.0,85.7504979213654,68.23069431039661,181.10501208394447,45.07457737911467
2021-04-17,9133.0,1118625.0,1855825.0,9195645.0,45.0,37.0,39.0,6.0,85.6105493445138,68.17983469587966,181.862408671758,45.15797959650667
2021-04-18,8363.0,1126988.0,0.0,9195645.0,55.0,25.0,32.0,4.0,85.43145044498564,68.07338197821262,182.51057921853732,45.21801610063494
2021-04-19,7213.0,1134201.0,0.0,9195645.0,25.0,24.0,59.0,17.0,85.20989476223363,67.91014278775792,183.02648720441965,45.25085136971156
2021-04-20,8259.0,1142460.0,0.0,9195645.0,23.0,20.0,52.0,10.0,84.94301177287,67.68955411733397,183.3920857781228,45.25513440386819
2021-04-21,8511.0,1150971.0,0.0,9195645.0,28.0,30.0,62.0,23.0,84.63032065777121,67.41218667568867,183.59309225332223,45.228999231584886
2021-04-22,8911.0,1159882.0,0.0,9195645.0,27.0,25.0,62.0,22.0,84.27272784300959,67.08036691916575,183.61827754044197,45.17066852118794
2021-04-23,8023.0,1167905.0,0.0,9195645.0,24.0,31.0,100.0,11.0,83.87138102393477,66.69701985517094,183.46103072565012,45.07991227096913
2021-04-24,8002.0,1175907.0,1937560.0,11133205.0,31.0,27.0,54.0,12.0,83.42551123070508,66.2661795731417,183.11741667742845,44.95565380956218
2021-04-25,7330.0,1183237.0,0.0,11133205.0,39.0,15.0,38.0,8.0,82.93331347274182,65.79182597123204,182.58399110945527,44.79663718355387
2021-04-26,6901.0,1190138.0,0.0,11133205.0,33.0,24.0,64.0,21.0,82.3949237303793,65.27810516605261,181.86656506612127,44.60348753368704
2021-04-27,7735.0,1197873.0,0.0,11133205.0,20.0,33.0,92.0,13.0,81.8098062085769,64.72875441612997,180.98128687354807,44.37873848778823
