date,dailycase,acccase,dailyvaccine,accvaccine,Mnuminter,Cnuminter,Mnumvac,Cnumvac,MscoreIntervention,CscoreIntervention,MscoreVaccine,CscoreVaccine,dailyvaccine3,accvaccine3
2021-01-01,7522.0,590917.0,0.0,46180.0,23.0,27.0,15.0,4.0,79.56697499671066,61.11986282726724,97.13137906214916,22.68086519138434,0.0,0.0
2021-01-02,7186.0,594530.05,19083.75,65263.75000000001,23.0,24.375000000000004,12.375,2.9499999999999997,79.61161920562202,60.88600195320647,97.92039493646276,22.76637998961172,0.0,0.0
2021-01-03,7339.854288093255,598522.8992506245,12076.3114071607,71603.81348875938,24.46877601998335,23.50291423813489,11.502914238134887,2.2339716902581177,79.64899780834932,60.65230763543759,98.68537667185988,22.848951263785093,0.0,0.0
2021-01-04,7329.503709476308,602617.9185162095,8590.067019950124,74758.03460099752,26.06555486284289,21.914307980049877,17.420105985037406,3.6098503740648376,79.67905915301681,60.41876623998844,99.4262376467281,22.928712838634237,0.0,0.0
2021-01-05,7458.793813689286,606960.8580412214,6512.202907707825,76638.00689302625,29.436178561966962,21.209361679898407,28.203602980593306,5.155573189585585,79.70184002846206,60.18539969297576,100.143304606145,23.00591912410229,0.0,0.0
2021-01-06,7670.6354494703555,611617.4937050494,5138.425554696974,77880.94830765511,30.39893642188169,23.0637848319122,28.58256069693783,6.3884802883453204,79.7173896693357,59.95231021935152,100.8368956321778,23.08084380120269,0.0,0.0
2021-01-07,7937.678627396058,616628.0835099195,4166.876467638437,78759.96891023188,29.94535692252314,22.673574202608297,28.472412888578756,6.693178777788995,79.72565113728888,59.71964708027551,101.50695655254108,23.15371590933645,0.0,0.0
2021-01-08,8071.178257403368,621848.2908234686,3446.6109325278785,79411.63772771286,30.127657277825016,22.90285356669855,29.773594145332446,6.919069392550392,79.72649764648509,59.48750238814258,102.1533793774691,23.22472724109188,0.0,0.0
2021-01-09,8028.00074869836,627106.637270127,24526.44233376361,101544.52293215482,27.701107079824194,21.153982542245377,27.56424229482934,6.130026608908674,79.71981519621464,59.25596557207235,102.77613901455472,23.294056602548245,0.0,0.0
2021-01-10,7770.64004415247,632203.0038587849,20832.97263585441,118990.2997707297,29.252031115403383,20.528428764953095,27.32868095912813,5.809263057934371,79.70553098019762,59.02514415699088,103.37529220706692,23.361893161271297,0.0,0.0
2021-01-11,7666.668337852764,637309.6941288449,17860.256917540657,133031.65905291986,28.217218308643513,19.739561646735428,27.70985901951514,6.692636800957066,79.68372859971952,58.795268420447705,103.95120589429304,23.428507431180368,0.0,0.0
2021-01-12,7542.064758004803,642409.1643128018,15427.187074810294,144524.04885998086,28.596311523450076,21.818463003843483,27.885612544617317,6.8707364771136215,79.65451462642346,58.56668293456472,104.50448000946272,23.49423756691347,0.0,0.0
2021-01-13,7525.043959567883,647610.46455982,13408.32319748457,154059.97349237252,29.041731915492672,23.28172400048886,28.94749399072006,7.018516453027664,79.6180951109886,58.33979061053855,105.03589879990392,23.559392148616404,0.0,0.0
2021-01-14,7448.589239388492,652850.0168341894,11714.017218674959,162062.8776502997,29.036458576471453,22.867037949672724,31.10228713373067,7.142538929011123,79.57473219471812,58.11484639274043,105.5463900027196,23.62426885636871,0.0,0.0
2021-01-15,7399.988000884591,658153.5267927902,10278.48723414625,168843.4763294624,29.031990648967078,21.657851675585952,32.43778061050084,8.963291832410482,79.52471572573064,57.89194359761826,106.0369219670085,23.689169262945185,0.0,0.0
2021-01-16,7282.36925543127,663448.5191332557,50515.623580298154,216098.2202265332,31.652559761022356,21.57937639119368,31.550525974968476,8.0133488369922,79.46836283771378,57.67117668067276,106.50840179904526,23.75434231485592,0.0,0.0
2021-01-17,7034.788299491663,668603.0722749387,44631.137228604064,256738.44968392007,30.761124987428417,21.62837418058623,29.62258096884081,7.662328521940806,79.40595244594377,57.45271652626564,106.96174232697705,23.81986425879483,0.0,0.0
2021-01-18,6809.078737665512,673639.1271948115,39540.30743632214,291897.42168617074,30.2180494926986,22.241086167161747,28.753114836004166,7.472715796620587,79.33756695450789,57.23674747966072,107.3980984388656,23.885834805302668,0.0,0.0
2021-01-19,6655.129343210396,678626.6757650556,35113.50174174409,322470.42133959424,29.63385344804041,22.66192207460719,32.13945885224278,7.419792055858908,79.26329838632411,57.02342993123194,107.81904542890598,23.95239472349841,0.0,0.0
2021-01-20,6581.557750670075,683642.2656138799,31246.95064791805,349174.1154719737,28.573014034721613,21.3777602759541,31.68363905760352,7.924145286323409,79.18329646796762,56.81283127437268,108.22644935005393,24.019695325182187,0.0,0.0
2021-01-21,6474.948721587196,688647.6298374683,27856.608382434548,372588.9522773407,27.85983188953787,21.22827116426753,30.849952387078805,7.715372559580944,79.09781090191113,56.60493833220475,108.62212461381898,24.08786933875234,0.0,0.0
2021-01-22,6394.107851096788,693663.9988105728,24873.687283088988,393190.00234108744,27.76775999586075,21.632152691072882,30.22353203589967,7.8529321017986025,79.00723894337122,56.39979557960269,109.0081167634906,24.156988141765268,0.0,0.0
2021-01-23,6233.555461020232,698606.9042664042,44525.54447541039,433653.9477618855,28.53313301626427,21.459425343223362,29.14159675871995,7.339356321896253,78.91213311177007,56.19745835009204,109.38687705670073,24.227103233958456,0.0,0.0
2021-01-24,6043.013474121057,703442.6272222552,39862.874997143845,469456.5337968061,28.47730387207122,21.62075274563414,30.17395866331038,7.199100297714947,78.81312899082269,55.99791757690506,109.76136791596706,24.29823273552493,0.0,0.0
2021-01-25,5817.179950672359,708132.339176336,35727.68078616884,501208.86949197523,27.805377688211323,20.415268457700538,31.504474133883065,7.1784465340671115,78.71081261674024,55.80111815685876,110.13518668002476,24.370429861961675,0.0,0.0
2021-01-26,5669.863885741972,712751.1935391591,32052.680769560262,529427.5765837504,27.413951131556892,21.401167564557074,40.29866541818196,8.497289743685474,78.60582450491317,55.60697014979006,110.51245360846325,24.443773682067995,0.0,0.0
2021-01-27,5555.136255489362,717327.6660575995,28780.640307554233,554552.134671506,31.863354802402316,21.46229830032354,44.55567140942317,9.059024056606212,78.49899244218813,55.41542696169403,110.89750985724996,24.51829654205102,0.0,0.0
2021-01-28,5466.204123539494,721883.318872055,25862.5945815739,576958.5230387732,31.877209147912517,21.11125869003814,46.831283640991224,9.053039655485554,78.39120703289231,55.2263077913302,111.29388434847046,24.593787724751287,0.0,0.0
2021-01-29,5370.251137105383,726406.9234341488,23256.437849326005,596970.0531422285,30.982658591067462,20.696969842132322,47.150593114971784,9.35000292099627,78.28277435642387,55.0392983478872,111.70430274907096,24.66976918400982,0.0,0.0
2021-01-30,5265.200616696692,730885.4406364197,29318.90228258456,623259.1563057404,30.98439646090466,20.12604783166714,45.431845890885185,8.513207117762557,78.17366180488254,54.85397672485751,112.1308201155594,24.745474082348142,0.0,0.0
2021-01-31,5107.824443791439,735262.8498323313,26395.258364187197,646796.5520641847,30.786514951266444,20.412634713322063,45.08962655159828,8.462030751940157,78.06363911367946,54.66979883247086,112.57472745878404,24.81974171762504,0.0,0.0
2021-02-01,4908.400553637757,739493.8202129181,23774.897425795396,667892.3059105373,30.11279096490689,19.974575139187756,43.88944185408705,8.217615292068903,77.9519829741917,54.48609320340438,113.03622453773148,24.891004117382504,0.0,0.0
2021-02-02,4773.495606979246,743639.8596310121,21424.157197431316,686817.4228620678,28.71739039339045,20.07596390349261,52.20586354553159,8.492723257692433,77.83707843501381,54.301937026827176,113.51308620867388,24.95697164814257,0.0,0.0
2021-02-03,4684.68332481037,747743.8779849987,19313.522071183357,703809.5243815321,29.139298531219126,20.955129598535752,52.77668216931115,8.148632037393101,77.71585167025535,54.116147486381806,113.99805679617796,25.014309840137315,0.0,0.0
2021-02-04,4590.152954988627,751796.9730977182,17417.037176413858,719077.5654850365,29.714788168341297,20.76314629599395,49.26360272844091,8.134037163772645,77.58277628566442,53.927109734557696,114.47344322576996,25.05828899579149,0.0,0.0
2021-02-05,4501.827485467377,755802.375551658,15711.818590397905,732805.7778918721,30.428048322326084,19.905188666085365,49.72732067176339,8.512535045726365,77.4283870451871,53.73261736448448,114.90866406724746,25.08309858291448,0.0,0.0
2021-02-06,4421.580325405168,759765.3497268021,18297.079371989006,749276.4226135948,28.921580012294914,19.816801722282264,47.21518222856606,8.07190957565609,77.23970816859651,53.53002951096974,115.2637872035109,25.083591506645803,0.0,0.0
2021-02-07,4290.701709524041,763632.6035553142,16514.754655265497,764103.111838566,28.539577571226513,18.957954071649493,44.75896276266256,7.577853141080116,76.8281220426623,53.407468677820674,115.47917754735296,25.1170587109204,0.0,0.0
2021-02-08,4129.574430751346,767371.50648804,14909.533726847898,777456.521360272,27.61233827005327,18.96204090221718,43.2272042010109,7.424487079221988,76.38254067795317,53.27971355532653,115.69439994772668,25.155650269982974,0.0,0.0
2021-02-09,4009.2276021129137,771020.643199588,13463.175446339745,789488.3944145157,30.366195658191277,18.965723274610887,41.26498426686367,7.286299076816551,75.903721639451,53.14556511813923,115.91093655275812,25.20246954352292,0.0,0.0
2021-02-10,3943.8402700801435,774632.8121849038,12159.435610511697,800333.8622435051,30.330734197468722,19.453229891280298,39.108899541644796,7.355412067888393,75.39237739391153,53.00438779790942,116.12682333122964,25.259619384186056,0.0,0.0
2021-02-11,3894.547466317454,778221.9873038628,10983.826878545913,810113.4412144246,29.041880995062595,19.216044665412134,38.22822529139429,7.32104982083686,74.84936378429703,52.85564211732304,116.33683304616912,25.328789536149745,0.0,0.0
