date,Case,Vaccine,PredCase,PredVaccine,beta,nu
2021-03-28,925307.2115614575,3.044824481589331e6,925307.2,3.0448245e6,0.42275253,0.020341337
2021-03-29,929513.9161004359,3.186600411574099e6,945594.75,3.1891978e6,0.45684624,0.0006992519
2021-03-30,933858.1312566362,3.314870023180639e6,962207.9,3.321121e6,0.26669702,0.0036851168
2021-03-31,938375.9102173273,3.43092033078528e6,971465.4,3.3870262e6,0.122336365,0.0032236278
2021-04-01,943087.4885286867,3.5359156492484957e6,975814.75,3.5427315e6,0.052154817,0.0030874014
2021-04-02,948010.4117972673,3.630909302579587e6,977911.0,3.701861e6,0.029127873,0.005295217
2021-04-03,953103.0250431796,3.8364255367035274e6,979520.75,3.8585258e6,0.030123033,0.0021251738
2021-04-04,958305.1639230367,4.022365413759193e6,981519.06,3.9097878e6,0.040950008,0.0024840534
2021-04-05,963601.0653982406,4.190593962362929e6,984214.7,4.074694e6,0.054676987,0.005959958
2021-04-06,969088.8564564001,4.342798478018336e6,987625.3,4.337359e6,0.06821362,0.0077254474
2021-04-07,974888.4607767995,4.480505470281921e6,991655.1,4.634968e6,0.080337204,0.008010238
2021-04-08,980954.8457820428,4.60509599224686e6,996185.56,4.9201655e6,0.09069202,0.0072585642
2021-04-09,987334.130295271,4.717819507075185e6,1.0011081e6,5.163138e6,0.09930424,0.005889505
2021-04-10,993985.5602080438,4.967545083030716e6,1.00633894e6,5.341937e6,0.10635302,0.0042238533
2021-04-11,1.0007869267639248e6,5.1934852311167335e6,1.01181775e6,5.4495885e6,0.112063475,0.0024795234
2021-04-12,1.0076905215057579e6,5.397905600210075e6,1.017506e6,5.55295e6,0.11665813,0.00079235435
2021-04-13,1.0147492786428988e6,5.582855995972472e6,1.02336925e6,5.58821e6,0.12033815,0.0007621348
2021-04-14,1.022066996686763e6,5.750190949526741e6,1.029388e6,5.64133e6,0.123275585,0.0021485984
2021-04-15,1.0295810116301555e6,5.901588325001629e6,1.03554256e6,5.741151e6,0.12561545,0.0033576787
2021-04-16,1.0371917699106394e6,6.03856615312068e6,1.0418166e6,5.8809315e6,0.12747553,0.0043942034
2021-04-17,1.0449474889311489e6,6.33924704758012e6,1.0481977e6,6.054249e6,0.12895307,0.005272478
2021-04-18,1.05276102889981e6,6.611290447564602e6,1.0546759e6,6.2553095e6,0.1301254,0.00600937
2021-04-19,1.0605173584952923e6,6.857423954606414e6,1.0612441e6,6.478948e6,0.1310552,0.0066230595
2021-04-20,1.0683215487430964e6,7.080115358551733e6,1.0678975e6,6.7206785e6,0.13179246,0.0071314275
2021-04-21,1.0761930429129335e6,7.28159738880764e6,1.0746299e6,6.9767385e6,0.13237679,0.007550329
2021-04-22,1.0841635277543191e6,7.463890107007336e6,1.0814369e6,7.243939e6,0.13283986,0.007894665
2021-04-23,1.0921390038171348e6,7.628821165959899e6,1.0883144e6,7.519656e6,0.13320702,0.008176535
2021-04-24,1.1001169966872397e6,7.9625757084590485e6,1.0952592e6,7.8017145e6,0.13349774,0.0084067285
2021-04-25,1.1080332669055043e6,8.264543432634173e6,1.1022671e6,8.0883555e6,0.13372806,0.0085944235
2021-04-26,1.115852836279765e6,8.537751776317308e6,1.1093339e6,8.3781315e6,0.13391072,0.008747131
2021-04-27,1.1236643446012882e6,8.784939827832008e6,1.1164561e6,8.669847e6,0.13405558,0.008871466
2021-04-28,1.1315479894132193e6,9.008585791859742e6,1.123631e6,8.962549e6,0.13417032,0.008972317
2021-04-29,1.139464138882221e6,9.21093183878231e6,1.1308554e6,9.255482e6,0.13426119,0.009053856
2021-04-30,1.1474307455446632e6,9.394006586824942e6,1.1381249e6,9.548045e6,0.13433337,0.009120196
2021-05-01,1.1553932897920625e6,9.716504686806902e6,1.1454358e6,9.839787e6,0.13439056,0.009173721
2021-05-02,1.1632780633597763e6,1.0008288360046543e7,1.1527845e6,1.0130311e7,0.13443619,0.009217054
2021-05-03,1.171023996984846e6,1.0272282848453006e7,1.1601672e6,1.0419272e7,0.13447225,0.009252042
2021-05-04,1.1787311715450217e6,1.0511134788871892e7,1.167581e6,1.0706416e7,0.13450053,0.009280354
2021-05-05,1.186440421734181e6,1.0727238748823043e7,1.1750218e6,1.0991589e7,0.13452333,0.009303123
2021-05-06,1.1941439310831653e6,1.0922761234676491e7,1.1824855e6,1.1274637e7,0.13454118,0.009321719
2021-05-07,1.2018450085149407e6,1.1099662413050022e7,1.1899684e6,1.1555434e7,0.1345557,0.009336501
2021-05-08,1.2094682666216819e6,1.1449501138798192e7,1.1974666e6,1.1833894e7,0.13456693,0.009348661
2021-05-09,1.2169363549231242e6,1.1766021717320492e7,1.2049765e6,1.2109962e7,0.13457596,0.009358257
