date,Case,Vaccine,PredCase,PredVaccine,beta,nu
2021-03-28,925307.2115614575,3.044824481589331e6,925307.2,3.0448245e6,0.12935056,0.0025537228
2021-03-29,929513.9161004359,3.186600411574099e6,930853.6,3.1488368e6,0.12934417,0.0028058505
2021-03-30,933858.1312566362,3.314870023180639e6,936415.25,3.2621088e6,0.12933357,0.0030484414
2021-03-31,938375.9102173273,3.43092033078528e6,942012.44,3.3841902e6,0.12932065,0.003281734
2021-04-01,943087.4885286867,3.5359156492484957e6,947660.1,3.5146298e6,0.12930506,0.0035059666
2021-04-02,948010.4117972673,3.630909302579587e6,953368.7,3.652999e6,0.12928712,0.0037212586
2021-04-03,953103.0250431796,3.8364255367035274e6,959145.8,3.7988845e6,0.12926732,0.003928325
2021-04-04,958305.1639230367,4.022365413759193e6,964996.06,3.951862e6,0.12924626,0.0041271662
2021-04-05,963601.0653982406,4.190593962362929e6,970923.4,4.111547e6,0.12922357,0.0043180203
2021-04-06,969088.8564564001,4.342798478018336e6,976929.25,4.2775485e6,0.12920001,0.0045014834
2021-04-07,974888.4607767995,4.480505470281921e6,983015.56,4.44951e6,0.12917508,0.0046776747
2021-04-08,980954.8457820428,4.60509599224686e6,989182.2,4.6270605e6,0.12914878,0.004846475
2021-04-09,987334.130295271,4.717819507075185e6,995427.94,4.809818e6,0.1291212,0.005008719
2021-04-10,993985.5602080438,4.967545083030716e6,1.001755e6,4.9975305e6,0.12909183,0.005164287
2021-04-11,1.0007869267639248e6,5.1934852311167335e6,1.0081597e6,5.1897975e6,0.12906061,0.0053137755
2021-04-12,1.0076905215057579e6,5.397905600210075e6,1.0146413e6,5.3863415e6,0.12902677,0.0054568266
2021-04-13,1.0147492786428988e6,5.582855995972472e6,1.02119744e6,5.5868085e6,0.12899035,0.0055941558
2021-04-14,1.022066996686763e6,5.750190949526741e6,1.027829e6,5.7910305e6,0.12895045,0.005726001
2021-04-15,1.0295810116301555e6,5.901588325001629e6,1.034531e6,5.998629e6,0.12890713,0.0058526015
2021-04-16,1.0371917699106394e6,6.03856615312068e6,1.0413021e6,6.2093915e6,0.12885977,0.0059744334
2021-04-17,1.0449474889311489e6,6.33924704758012e6,1.04814006e6,6.423073e6,0.12880804,0.0060923314
2021-04-18,1.05276102889981e6,6.611290447564602e6,1.055041e6,6.6394405e6,0.12875156,0.0062062955
2021-04-19,1.0605173584952923e6,6.857423954606414e6,1.0620049e6,6.8584315e6,0.12868996,0.006317756
2021-04-20,1.0683215487430964e6,7.080115358551733e6,1.069026e6,7.079762e6,0.12862347,0.0064271903
2021-04-21,1.0761930429129335e6,7.28159738880764e6,1.0761025e6,7.3033785e6,0.1285517,0.0065360283
2021-04-22,1.0841635277543191e6,7.463890107007336e6,1.0832309e6,7.5292005e6,0.12847495,0.006645224
2021-04-23,1.0921390038171348e6,7.628821165959899e6,1.090408e6,7.757195e6,0.12839341,0.0067554926
2021-04-24,1.1001169966872397e6,7.9625757084590485e6,1.0976302e6,7.987339e6,0.12830758,0.006867788
