date,Case,Vaccine,PredCase,PredVaccine,beta,nu
2022-01-01,2.0369267484940027e6,3.872054773711584e6,2.0369268e6,3.8720548e6,0.09903551,0.0061449455
2022-01-02,2.0647129629231454e6,4.1080659381200047e6,2.0652006e6,4.1029418e6,0.10330439,0.0057753967
2022-01-03,2.0935065855018932e6,4.321599848775242e6,2.0946035e6,4.319163e6,0.10813794,0.005463903
2022-01-04,2.123555196406475e6,4.514797196510934e6,2.125322e6,4.523295e6,0.11348211,0.00521559
2022-01-05,2.154981939605858e6,4.689594796843226e6,2.1574712e6,4.717995e6,0.118674286,0.0050340937
2022-01-06,2.1879322310719667e6,4.847745006667681e6,2.190877e6,4.905973e6,0.12222523,0.0049216794
2022-01-07,2.2219755423984462e6,4.99083329174695e6,2.225003e6,5.089939e6,0.123274006,0.0048790323
2022-01-08,2.256581205027166e6,5.272759549675812e6,2.2592938e6,5.272512e6,0.12255707,0.004906063
2022-01-09,2.2907508997864835e6,5.527835687801925e6,2.2934415e6,5.4563015e6,0.12101386,0.0050017284
2022-01-10,2.3247119569496755e6,5.758618860392218e6,2.3273048e6,5.6437635e6,0.11911077,0.0051637935
2022-01-11,2.3585540562878014e6,5.967422683212007e6,2.360806e6,5.8371995e6,0.11704489,0.0053899335
2022-01-12,2.392259479498487e6,6.156340427668006e6,2.3938895e6,6.038762e6,0.11491067,0.0056760954
2022-01-13,2.4256354338319646e6,6.327266005985339e6,2.4265102e6,6.2503475e6,0.11275915,0.006017332
2022-01-14,2.458787202038444e6,6.48191295779626e6,2.4586215e6,6.4736585e6,0.11061757,0.0064086365
2022-01-15,2.4912615637490684e6,6.764494676101378e6,2.4901792e6,6.710078e6,0.10849402,0.0068424987
2022-01-16,2.5226931291063e6,7.02016384980601e6,2.5211392e6,6.960693e6,0.10637873,0.0073111104
2022-01-17,2.553082926334271e6,7.251483578395913e6,2.551433e6,7.226104e6,0.10424843,0.0078051733
2022-01-18,2.5826159809691026e6,7.460772856643922e6,2.581015e6,7.5067315e6,0.10207882,0.008314048
2022-01-19,2.611448458972045e6,7.650129822677835e6,2.6098178e6,7.8024215e6,0.09987401,0.008825962
2022-01-20,2.6396602247842313e6,7.821452791946612e6,2.637789e6,8.112559e6,0.097701885,0.009327774
2022-01-21,2.66711858432859e6,7.976459287951698e6,2.6649098e6,8.436118e6,0.09567993,0.009805773
2022-01-22,2.6936455762972957e6,8.553281070051536e6,2.6912055e6,8.771728e6,0.09392036,0.010246937
2022-01-23,2.7189093309356486e6,9.075167444332343e6,2.7167108e6,9.117338e6,0.09245991,0.010636632
2022-01-24,2.743130632751301e6,9.54735035439593e6,2.741474e6,9.470725e6,0.09126232,0.010963713
2022-01-25,2.7668069534416534e6,9.974563463501079e6,2.7655278e6,9.829304e6,0.090259485,0.011217062
2022-01-26,2.7900037197805434e6,1.036108960983431e7,2.7889035e6,1.0190495e7,0.089382164,0.011388724
2022-01-27,2.8126684131347775e6,1.0710803742231043e7,2.8115975e6,1.0551283e7,0.08858014,0.01147372
2022-01-28,2.834781897598132e6,1.1027211766780468e7,2.833617e6,1.0908917e7,0.08781504,0.011469548
2022-01-29,2.8560026692554527e6,1.1313485693753757e7,2.8549585e6,1.1260659e7,0.0870643,0.01137725
2022-01-30,2.876223462659695e6,1.1695023246729588e7,2.8756238e6,1.1604056e7,0.0863144,0.011200224
